Site,Plant species,Individuals
Aznalcazar,Asphodelus fistulosus,9
Aznalcazar,Cistus ladanifer,6
Aznalcazar,Cistus salvifolius,9
Aznalcazar,Lavandula pedunculata,4
Bonares,Cistus crispus,6
Bonares,Cistus ladanifer,12
Bonares,Cistus salvifolius,9
Bonares,Halimium commutatum,6
Bonares,Lavandula stoechas,9
Bonares,Ulex australis,6
ConventodelaLuz,Cistus ladanifer,9
ConventodelaLuz,Cistus salvifolius,6
ConventodelaLuz,Halimium halimifolium,3
ConventodelaLuz,Lavandula stoechas,3
ConventodelaLuz,Rosmarinus officinalis,9
ConventodelaLuz,Teucrium fruticans,9
CotitodeSantaTeresa,Astragalus lusitanicus,2
CotitodeSantaTeresa,Cistus albidus,6
CotitodeSantaTeresa,Cistus salvifolius,5
CotitodeSantaTeresa,Lavandula stoechas,3
CotitodeSantaTeresa,Rosmarinus officinalis,6
Elpinar,Rosmarinus officinalis,8
Elpozo,Rosmarinus officinalis,6
Elpozo,Spartium junceum,6
Esparragal,Cistus salvifolius,3
Esparragal,Halimium commutatum,7
Esparragal,Halimium halimifolium,3
Esparragal,Lavandula pedunculata,6
LaCunya,Cistus salvifolius,6
LaCunya,Lavandula pedunculata,5
LaCunya,Rosmarinus officinalis,6
LaRocina,Anchusa azurea,6
LaRocina,Halimium commutatum,3
LaRocina,Halimium halimifolium,3
LaRocina,Rosmarinus officinalis,1
LaRocina,Spartium junceum,3
Lasmulas,Cistus ladanifer,6
Lasmulas,Cistus libanotis,6
Lasmulas,Cistus salvifolius,7
Lasmulas,Halimium commutatum,2
Lasmulas,Lavandula stoechas,9
Niebla,Asphodelus fistulosus,9
Niebla,Cistus crispus,5
Niebla,Cistus ladanifer,9
Niebla,Cistus monspeliensis,3
Niebla,Lavandula pedunculata,9
Niebla,Phlomis purpurea,6
PinaresdeHinojos,Cistus libanotis,6
PinaresdeHinojos,Cistus salvifolius,6
PinaresdeHinojos,Retama sphaerocarpa,1
Pinodelcuervo,Asphodelus fistulosus,6
Pinodelcuervo,Cistus crispus,6
Pinodelcuervo,Cistus ladanifer,9
Pinodelcuervo,Halimium commutatum,6
Pinodelcuervo,Rosmarinus officinalis,9
Pinodelcuervo,Ulex australis,3
Urbanizaciones,Cistus salvifolius,6
Urbanizaciones,Halimium commutatum,6
Urbanizaciones,Lavandula stoechas,9
Urbanizaciones,Rosmarinus officinalis,9
Villamanriqueeste,Cistus salvifolius,3
Villamanriquesur,Cistus crispus,3
Villamanriquesur,Cistus ladanifer,7
Villamanriquesur,Halimium halimifolium,6
Villamanriquesur,Lavandula stoechas,3
